techs,color
ESP_10_ESP_11_ac_ohl_transmission,#19122b
ESP_1_ESP_2_ac_ohl_transmission,#17344c
ESP_1_PRT_1_ac_ohl_transmission,#185b48
ESP_2_ESP_3_ac_ohl_transmission,#3c7632
ESP_2_ESP_4_ac_ohl_transmission,#7e7a36
ESP_2_ESP_8_techs_ac_ohl_transmission,#bc7967
ESP_2_PRT_1_ac_ohl_transmission,#d486af
ESP_3_ESP_11_ac_ohl_transmission,#caa9e7
ESP_3_ESP_4_ac_ohl_transmission,#c2d2f3
ESP_3_ESP_5_ac_ohl_transmission,#d6f0ef
ESP_3_ESP_7_ac_ohl_transmission,#19122b
ESP_4_ESP_5_techs_ac_ohl_transmission,#17344c
ESP_4_FRA_1_ac_ohl_mountain_transmission,#185b48
ESP_4_FRA_1_dc_subsea_transmission,#3c7632
ESP_4_FRA_1_dc_underground_transmission,#7e7a36
ESP_5_ESP_11_ac_ohl_transmission,#bc7967
ESP_5_ESP_6_techs_ac_ohl_transmission,#d486af
ESP_5_FRA_1_ac_ohl_transmission,#caa9e7
ESP_6_ESP_11_ac_ohl_transmission,#c2d2f3
ESP_6_FRA_2_ac_ohl_mountain_transmission,#d6f0ef
ESP_6_FRA_2_dc_underground_transmission,#19122b
ESP_6_FRA_3_dc_subsea_transmission,#17344c
ESP_7_ESP_11_ac_ohl_transmission,#185b48
ESP_7_ESP_8_ac_ohl_transmission,#3c7632
ESP_8_ESP_10_ac_ohl_transmission,#7e7a36
ESP_8_ESP_9_ac_ohl_transmission,#bc7967
ESP_8_PRT_2_ac_ohl_transmission,#d486af
ESP_9_ESP_10_ac_ohl_transmission,#caa9e7
ESP_9_MA_dc_subsea_transmission,#c2d2f3
ESP_9_PRT_2_ac_ohl_transmission,#d6f0ef
PRT_1_PRT_2_ac_ohl_transmission,#19122b
Trade_Markets_ESP_10_natural_gas_transmission,#17344c
Trade_Markets_ESP_11_coal_transmission,#185b48
Trade_Markets_ESP_11_natural_gas_transmission,#3c7632
Trade_Markets_ESP_11_oil_fuel_transmission,#7e7a36
Trade_Markets_ESP_11_uranium_transmission,#bc7967
Trade_Markets_ESP_1_coal_transmission,#d486af
Trade_Markets_ESP_1_natural_gas_transmission,#caa9e7
Trade_Markets_ESP_2_coal_transmission,#c2d2f3
Trade_Markets_ESP_2_natural_gas_transmission,#d6f0ef
Trade_Markets_ESP_2_oil_fuel_transmission,#19122b
Trade_Markets_ESP_2_uranium_transmission,#17344c
Trade_Markets_ESP_3_natural_gas_transmission,#185b48
Trade_Markets_ESP_4_natural_gas_transmission,#3c7632
Trade_Markets_ESP_5_coal_transmission,#7e7a36
Trade_Markets_ESP_5_natural_gas_transmission,#bc7967
Trade_Markets_ESP_6_natural_gas_transmission,#d486af
Trade_Markets_ESP_6_oil_fuel_transmission,#caa9e7
Trade_Markets_ESP_6_uranium_transmission,#c2d2f3
Trade_Markets_ESP_7_coal_transmission,#d6f0ef
Trade_Markets_ESP_7_natural_gas_transmission,#19122b
Trade_Markets_ESP_7_uranium_transmission,#17344c
Trade_Markets_ESP_8_uranium_transmission,#185b48
Trade_Markets_ESP_9_coal_transmission,#3c7632
Trade_Markets_ESP_9_natural_gas_transmission,#7e7a36
battery_CN,#bc7967
battery_CZ,#d486af
battery_ESP,#caa9e7
battery_HU,#c2d2f3
battery_PL,#d6f0ef
battery_US,#19122b
biogas_to_electricity_supply_BEL,#17344c
biogas_to_electricity_supply_CAN,#185b48
biogas_to_electricity_supply_FR,#3c7632
biogas_to_electricity_supply_FSM,#7e7a36
biogas_to_electricity_supply_UK,#bc7967
biogas_to_electricity_supply_USA,#d486af
biomass_ESP,#caa9e7
biomass_FR,#c2d2f3
biomass_IT,#d6f0ef
coal_AUS,#19122b
coal_COL,#17344c
coal_ITA,#185b48
coal_RUS,#3c7632
coal_USA,#7e7a36
demand_tech,#bc7967
el_import_FR,#d486af
el_import_MA,#caa9e7
el_import_PT,#c2d2f3
existing_biogas_to_electricity_supply,#d6f0ef
existing_biomass,#19122b
existing_ccgt,#17344c
existing_chp,#185b48
existing_coal,#3c7632
existing_hydro_reservoir,#7e7a36
existing_hydro_run_of_river,#bc7967
existing_nuclear,#d486af
existing_oil_and_other,#caa9e7
existing_open_field_pv,#c2d2f3
existing_pumped_hydro,#d6f0ef
existing_rooftop_pv,#19122b
existing_wind_onshore,#17344c
existing_wte,#185b48
natural_gas_DEU,#3c7632
natural_gas_DNK,#7e7a36
natural_gas_DZA,#bc7967
natural_gas_NOR,#d486af
natural_gas_PT,#caa9e7
natural_gas_liquid_DZA,#c2d2f3
natural_gas_liquid_NGA,#d6f0ef
natural_gas_liquid_QAT,#19122b
natural_gas_liquid_RUS,#17344c
natural_gas_liquid_USA,#185b48
oil_LBY,#3c7632
oil_MEX,#7e7a36
oil_NGA,#bc7967
oil_SA,#d486af
oil_USA,#caa9e7
open_field_pv_CN,#c2d2f3
open_field_pv_DE,#d6f0ef
open_field_pv_ESP,#19122b
open_field_pv_MY,#17344c
open_field_pv_NL,#185b48
open_field_pv_PT,#3c7632
pumped_hydro_CN,#7e7a36
pumped_hydro_ESP,#bc7967
roof_mounted_pv_CN,#d486af
roof_mounted_pv_DE,#caa9e7
roof_mounted_pv_ESP,#c2d2f3
roof_mounted_pv_MY,#d6f0ef
roof_mounted_pv_NL,#19122b
roof_mounted_pv_PT,#17344c
uranium_UK,#185b48
uranium_USA,#3c7632
wind_offshore_CN,#7e7a36
wind_offshore_DE,#bc7967
wind_offshore_ESP,#d486af
wind_offshore_FR,#caa9e7
wind_offshore_IND,#c2d2f3
wind_offshore_NDL,#d6f0ef
wind_offshore_PT,#19122b
wind_onshore_competing_CN,#17344c
wind_onshore_competing_DE,#185b48
wind_onshore_competing_ESP,#3c7632
wind_onshore_competing_FR,#7e7a36
wind_onshore_competing_IND,#bc7967
wind_onshore_competing_NDL,#d486af
wind_onshore_competing_PT,#caa9e7
wind_onshore_monopoly_CN,#c2d2f3
wind_onshore_monopoly_DE,#d6f0ef
wind_onshore_monopoly_ESP,#19122b
wind_onshore_monopoly_FR,#17344c
wind_onshore_monopoly_IND,#185b48
wind_onshore_monopoly_NDL,#3c7632
wind_onshore_monopoly_PT,#7e7a36
