techs,costs,cost_flow_out
coal_AUS,co2,13.31
coal_AUS,monetary,5.03
coal_AUS,vul,0.5
coal_COL,co2,9.34
coal_COL,monetary,3.53
coal_COL,vul,0.5
coal_ITA,co2,9.59
coal_ITA,monetary,3.63
coal_ITA,vul,0.5
coal_RUS,co2,10.01
coal_RUS,monetary,3.79
coal_RUS,vul,0.5
coal_USA,co2,16.44
coal_USA,monetary,6.22
coal_USA,vul,0.5
existing_hydro_reservoir,monetary,5.0
existing_hydro_run_of_river,monetary,5.0
natural_gas_DEU,co2,1316.5
natural_gas_DEU,monetary,497.88
natural_gas_DEU,vul,0.5
natural_gas_DNK,co2,23.9
natural_gas_DNK,monetary,9.04
natural_gas_DNK,vul,0.5
natural_gas_DZA,co2,9.61
natural_gas_DZA,monetary,3.635
natural_gas_DZA,vul,0.5
natural_gas_NOR,co2,9.93
natural_gas_NOR,monetary,3.755
natural_gas_NOR,vul,0.5
natural_gas_PT,co2,24.97
natural_gas_PT,monetary,9.447
natural_gas_PT,vul,0.5
natural_gas_liquid_DZA,co2,12.62
natural_gas_liquid_DZA,monetary,4.32
natural_gas_liquid_DZA,vul,0.5
natural_gas_liquid_NGA,co2,13.54
natural_gas_liquid_NGA,monetary,5.12
natural_gas_liquid_NGA,vul,0.5
natural_gas_liquid_QAT,co2,12.62
natural_gas_liquid_QAT,monetary,4.772
natural_gas_liquid_QAT,vul,0.5
natural_gas_liquid_RUS,co2,16.89
natural_gas_liquid_RUS,monetary,6.39
natural_gas_liquid_RUS,vul,0.5
natural_gas_liquid_USA,co2,23.72
natural_gas_liquid_USA,monetary,8.97
natural_gas_liquid_USA,vul,0.5
oil_LBY,co2,19.5
oil_LBY,monetary,7.37
oil_LBY,vul,0.5
oil_MEX,co2,16.5
oil_MEX,monetary,6.25
oil_MEX,vul,0.5
oil_NGA,co2,20.05
oil_NGA,monetary,7.58
oil_NGA,vul,0.5
oil_SA,co2,19.14
oil_SA,monetary,7.24
oil_SA,vul,0.5
oil_USA,co2,20.97
oil_USA,monetary,7.93
oil_USA,vul,0.5
uranium_UK,co2,0.48
uranium_UK,monetary,0.183
uranium_UK,vul,0.5
uranium_USA,co2,0.46
uranium_USA,monetary,0.18
uranium_USA,vul,0.5
