nodes,techs,costs,cost_investment_storage_cap
ESP_1,battery_CN,monetary,7.447268358519782
ESP_1,battery_CZ,monetary,6.932609648258361
ESP_1,battery_ESP,monetary,3.8059532100771936
ESP_1,battery_HU,monetary,6.5902493141025325
ESP_1,battery_PL,monetary,6.878235601114626
ESP_1,battery_US,monetary,7.256963336317016
ESP_10,battery_CN,monetary,3556892.6550279306
ESP_10,battery_CZ,monetary,98.49122634032598
ESP_10,battery_ESP,monetary,6.966761196850702
ESP_10,battery_HU,monetary,55.78454692784603
ESP_10,battery_PL,monetary,88.14108676662624
ESP_10,battery_US,monetary,293.6453232707799
ESP_11,battery_CN,monetary,2.5800551166139
ESP_11,battery_CZ,monetary,2.580045257959067
ESP_11,battery_ESP,monetary,2.5806247891970555
ESP_11,battery_HU,monetary,2.5800434513796686
ESP_11,battery_PL,monetary,2.580044351359136
ESP_11,battery_US,monetary,2.580051480156878
ESP_2,battery_CN,monetary,2.89699074029101
ESP_2,battery_CZ,monetary,2.8732880035668042
ESP_2,battery_ESP,monetary,2.7181679106568866
ESP_2,battery_HU,monetary,2.8573263994968614
ESP_2,battery_PL,monetary,2.870761838083465
ESP_2,battery_US,monetary,2.888276402073188
ESP_3,battery_CN,monetary,4.515682855466012
ESP_3,battery_CZ,monetary,4.252449284115274
ESP_3,battery_ESP,monetary,2.986439153315515
ESP_3,battery_HU,monetary,4.08481286022572
ESP_3,battery_PL,monetary,4.225380394826922
ESP_3,battery_US,monetary,4.417061491897142
ESP_4,battery_CN,monetary,4597478.012560508
ESP_4,battery_CZ,monetary,111.72693882954808
ESP_4,battery_ESP,monetary,7.673501118720011
ESP_4,battery_HU,monetary,62.66724709126857
ESP_4,battery_PL,monetary,99.86982224014851
ESP_4,battery_US,monetary,337.1586729140039
ESP_5,battery_CN,monetary,43.695895290054324
ESP_5,battery_CZ,monetary,30.428528843921168
ESP_5,battery_ESP,monetary,5.931865914313928
ESP_5,battery_HU,monetary,24.57779428643563
ESP_5,battery_PL,monetary,29.376783359276615
ESP_5,battery_US,monetary,37.97083547045056
ESP_6,battery_CN,monetary,2.870878180205964
ESP_6,battery_CZ,monetary,2.8471721669774563
ESP_6,battery_ESP,monetary,2.688959131684992
ESP_6,battery_HU,monetary,2.8310418812099636
ESP_6,battery_PL,monetary,2.84462662171434
ESP_6,battery_US,monetary,2.8622004246005712
ESP_7,battery_CN,monetary,53241282.5431489
ESP_7,battery_CZ,monetary,144.05194845835837
ESP_7,battery_ESP,monetary,8.732406691778646
ESP_7,battery_HU,monetary,76.62978372955017
ESP_7,battery_PL,monetary,127.46963500087928
ESP_7,battery_US,monetary,460.92123123235297
ESP_8,battery_CN,monetary,2.582452668436509
ESP_8,battery_CZ,monetary,2.5823583770870298
ESP_8,battery_ESP,monetary,2.581351814141906
ESP_8,battery_HU,monetary,2.5822884279892984
ESP_8,battery_PL,monetary,2.5823476675424106
ESP_8,battery_US,monetary,2.5824192035693296
ESP_9,battery_CN,monetary,4.252722755692011
ESP_9,battery_CZ,monetary,4.034736004535937
ESP_9,battery_ESP,monetary,2.9470928092828363
ESP_9,battery_HU,monetary,3.8950526112497004
ESP_9,battery_PL,monetary,4.012198910621199
ESP_9,battery_US,monetary,4.171396971950094
