techs,lifetime
ESP_10_ESP_11_ac_ohl_transmission,60.0
ESP_1_ESP_2_ac_ohl_transmission,60.0
ESP_1_PRT_1_ac_ohl_transmission,60.0
ESP_2_ESP_3_ac_ohl_transmission,60.0
ESP_2_ESP_4_ac_ohl_transmission,60.0
ESP_2_ESP_8_techs_ac_ohl_transmission,60.0
ESP_2_PRT_1_ac_ohl_transmission,60.0
ESP_3_ESP_11_ac_ohl_transmission,60.0
ESP_3_ESP_4_ac_ohl_transmission,60.0
ESP_3_ESP_5_ac_ohl_transmission,60.0
ESP_3_ESP_7_ac_ohl_transmission,60.0
ESP_4_ESP_5_techs_ac_ohl_transmission,60.0
ESP_4_FRA_1_ac_ohl_mountain_transmission,60.0
ESP_4_FRA_1_dc_subsea_transmission,60.0
ESP_4_FRA_1_dc_underground_transmission,60.0
ESP_5_ESP_11_ac_ohl_transmission,60.0
ESP_5_ESP_6_techs_ac_ohl_transmission,60.0
ESP_5_FRA_1_ac_ohl_transmission,60.0
ESP_6_ESP_11_ac_ohl_transmission,60.0
ESP_6_FRA_2_ac_ohl_mountain_transmission,60.0
ESP_6_FRA_2_dc_underground_transmission,60.0
ESP_6_FRA_3_dc_subsea_transmission,60.0
ESP_7_ESP_11_ac_ohl_transmission,60.0
ESP_7_ESP_8_ac_ohl_transmission,60.0
ESP_8_ESP_10_ac_ohl_transmission,60.0
ESP_8_ESP_9_ac_ohl_transmission,60.0
ESP_8_PRT_2_ac_ohl_transmission,60.0
ESP_9_ESP_10_ac_ohl_transmission,60.0
ESP_9_MA_dc_subsea_transmission,60.0
ESP_9_PRT_2_ac_ohl_transmission,60.0
PRT_1_PRT_2_ac_ohl_transmission,60.0
Trade_Markets_ESP_10_natural_gas_transmission,60.0
Trade_Markets_ESP_11_coal_transmission,60.0
Trade_Markets_ESP_11_natural_gas_transmission,60.0
Trade_Markets_ESP_11_oil_fuel_transmission,60.0
Trade_Markets_ESP_11_uranium_transmission,60.0
Trade_Markets_ESP_1_coal_transmission,60.0
Trade_Markets_ESP_1_natural_gas_transmission,60.0
Trade_Markets_ESP_2_coal_transmission,60.0
Trade_Markets_ESP_2_natural_gas_transmission,60.0
Trade_Markets_ESP_2_oil_fuel_transmission,60.0
Trade_Markets_ESP_2_uranium_transmission,60.0
Trade_Markets_ESP_3_natural_gas_transmission,60.0
Trade_Markets_ESP_4_natural_gas_transmission,60.0
Trade_Markets_ESP_5_coal_transmission,60.0
Trade_Markets_ESP_5_natural_gas_transmission,60.0
Trade_Markets_ESP_6_natural_gas_transmission,60.0
Trade_Markets_ESP_6_oil_fuel_transmission,60.0
Trade_Markets_ESP_6_uranium_transmission,60.0
Trade_Markets_ESP_7_coal_transmission,60.0
Trade_Markets_ESP_7_natural_gas_transmission,60.0
Trade_Markets_ESP_7_uranium_transmission,60.0
Trade_Markets_ESP_8_uranium_transmission,60.0
Trade_Markets_ESP_9_coal_transmission,60.0
Trade_Markets_ESP_9_natural_gas_transmission,60.0
battery_CN,25.0
battery_CZ,25.0
battery_ESP,25.0
battery_HU,25.0
battery_PL,25.0
battery_US,25.0
biogas_to_electricity_supply_BEL,25.0
biogas_to_electricity_supply_CAN,25.0
biogas_to_electricity_supply_FR,25.0
biogas_to_electricity_supply_FSM,25.0
biogas_to_electricity_supply_UK,25.0
biogas_to_electricity_supply_USA,25.0
biomass_ESP,25.0
biomass_FR,25.0
biomass_IT,25.0
coal_AUS,25.0
coal_COL,25.0
coal_ITA,25.0
coal_RUS,25.0
coal_USA,25.0
el_import_FR,25.0
el_import_MA,25.0
el_import_PT,25.0
existing_biogas_to_electricity_supply,25.0
existing_biomass,25.0
existing_ccgt,25.0
existing_chp,25.0
existing_coal,30.0
existing_hydro_reservoir,60.0
existing_hydro_run_of_river,60.0
existing_nuclear,50.0
existing_oil_and_other,35.0
existing_open_field_pv,25.0
existing_pumped_hydro,50.0
existing_rooftop_pv,30.0
existing_wind_onshore,27.0
existing_wte,24.0
natural_gas_DEU,25.0
natural_gas_DNK,25.0
natural_gas_DZA,25.0
natural_gas_NOR,25.0
natural_gas_PT,25.0
natural_gas_liquid_DZA,25.0
natural_gas_liquid_NGA,25.0
natural_gas_liquid_QAT,25.0
natural_gas_liquid_RUS,25.0
natural_gas_liquid_USA,25.0
oil_LBY,25.0
oil_MEX,25.0
oil_NGA,25.0
oil_SA,25.0
oil_USA,25.0
open_field_pv_CN,40.0
open_field_pv_DE,40.0
open_field_pv_ESP,40.0
open_field_pv_MY,40.0
open_field_pv_NL,40.0
open_field_pv_PT,40.0
pumped_hydro_CN,50.0
pumped_hydro_ESP,60.0
roof_mounted_pv_CN,40.0
roof_mounted_pv_DE,40.0
roof_mounted_pv_ESP,40.0
roof_mounted_pv_MY,40.0
roof_mounted_pv_NL,40.0
roof_mounted_pv_PT,40.0
uranium_UK,25.0
uranium_USA,25.0
wind_offshore_CN,30.0
wind_offshore_DE,30.0
wind_offshore_ESP,30.0
wind_offshore_FR,30.0
wind_offshore_IND,30.0
wind_offshore_NDL,30.0
wind_offshore_PT,30.0
wind_onshore_competing_CN,30.0
wind_onshore_competing_DE,30.0
wind_onshore_competing_ESP,30.0
wind_onshore_competing_FR,30.0
wind_onshore_competing_IND,30.0
wind_onshore_competing_NDL,30.0
wind_onshore_competing_PT,30.0
wind_onshore_monopoly_CN,30.0
wind_onshore_monopoly_DE,30.0
wind_onshore_monopoly_ESP,30.0
wind_onshore_monopoly_FR,30.0
wind_onshore_monopoly_IND,30.0
wind_onshore_monopoly_NDL,30.0
wind_onshore_monopoly_PT,30.0
